Produto,Estoque,Vendidos,Data_de_vendas,Vendedor,cidade,latitude,longitude,Preco_kg,Faturamento,Não_vendidos
Café,466,277,2024-01-01,Desconhecido,São Paulo,-23.55052,-46.633308,38.57,10683.89,17973.62
Soja,191,37,2024-01-02,Pedro,Rio de Janeiro,-22.906847,-43.172896,2.33,86.21000000000001,445.03
Cana-de-açúcar,241,241,2024-01-03,Fernanda,Brasília,-15.794229,-47.882166,1.28,308.48,308.48
Arroz,222,283,2024-01-04,Carlos,Belo Horizonte,-19.924502,-43.935237,1.56,441.48,346.32
Arroz,370,432,2024-01-05,Patrícia,Fortaleza,-3.71722,-38.5434,1.56,673.9200000000001,577.2
Café,559,443,2024-01-06,Desconhecido,São Paulo,-23.55052,-46.633308,38.57,17086.51,21560.63
Cana-de-açúcar,530,337,2024-01-07,Patrícia,São Paulo,-23.55052,-46.633308,1.28,431.36,678.4
Algodão,100,100,2024-01-08,Ricardo,Recife,-8.04756,-34.877,17.68,1768.0,1768.0
Cana-de-açúcar,52,116,2024-01-09,Desconhecido,Salvador,-12.971399,-38.501305,1.28,148.48,66.56
Café,187,369,2024-01-10,Pedro,Curitiba,-25.428954,-49.267137,38.57,14232.33,7212.59
Soja,929,190,2024-01-11,Pedro,São Paulo,-23.55052,-46.633308,2.33,442.7,2164.57
Cana-de-açúcar,526,181,2024-01-12,João,Brasília,-15.794229,-47.882166,1.28,231.68,673.28
Arroz,438,104,2024-01-13,Ana,Curitiba,-25.428954,-49.267137,1.56,162.24,683.28
Arroz,315,200,2024-01-14,Carlos,Salvador,-12.971399,-38.501305,1.56,312.0,491.4
Café,50,377,2024-01-15,Carlos,Manaus,-3.10194,-60.025,38.57,14540.89,1928.5
Café,969,412,2024-01-16,Patrícia,Manaus,-3.10194,-60.025,38.57,15890.84,37374.33
Soja,36,36,2024-01-17,Fernanda,Rio de Janeiro,-22.906847,-43.172896,2.33,83.88,83.88
Cana-de-açúcar,830,830,2024-01-18,Ricardo,Manaus,-3.10194,-60.025,1.28,1062.4,1062.4
